Title	URL	Assignees	Priority	Estimate Size	Labels	Milestone	Actual Size	Sprint
Display LoD2 data in FE	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/162		P2		feature, frontend	Automated energy assessment		
Extend API endpoints for LoD2 data	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/163		P2		backend, feature, frontend	Automated energy assessment		
Open as map functionality	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/185		P0		feature, frontend	UI		Sprint 8
Check and update architecture documentation	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/285	Ahsankkhan, CelineMP, Corgam, Lucas-Nan, nicolasbandel, Superschnizel	P1	1	backend, devops, frontend, organizational	Data lake		Sprint 8
Test environment connection bugs from mid-project review	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/251	Corgam	P0	3	backend, bug, frontend	CI/CD		Sprint 8
Ingest all Hausumringe datasets for whole of bavaria	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/283	Superschnizel	P0	1	backend, feature	Automated energy assessment		Sprint 8
Utilize metadata DB to store metadata	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/277	Corgam	P0	2	backend, feature	Data lake		Sprint 8
Integrate charging stations as geospatial data	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/284	nicolasbandel		3	backend, feature			Sprint 8
Create missing descriptions for the actual use dataset	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/275	Superschnizel	P0	1	backend, feature	Automated energy assessment		Sprint 8
Different icons in dataset selection dialog	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/270	Lucas-Nan		2	backend, bug, feature			Sprint 8
Decide on a storage strategy for split datasets	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/276		P0	2	backend, feature	Data lake		Sprint 8
Discussion about: API Composer: merge the viewportData endpoints into a single endpoint, using the datasetID field	https://github.com/amosproj/amos2024ss04-building-information-enhancer/issues/280	Lucas-Nan	P0	2	backend, feature	Data lake		Sprint 8
